repo_name,file_count,avg_size,max_size,avg_depth,max_depth,comment_density,import_freq,function_freq,py_ratio,js_ratio,java_ratio,dominant_ratio,main_language,complexity_score,readability_score,modularity_score,tech_focus_score,complexity_rank,readability_rank,modularity_rank
rossgoodwin/photosynthesis,5,58184.2,169543,3,4,0.0023826478552868165,0.2,116.6,0,0.4,0,0.4,JavaScript,5.3752784076841653,0.23826478552868166,23.32,0.4,60012,92979,2217
jiffyclub/ipythonblocks,1,11427,11427,1,1,0.0020127767568040604,19,21,1,0,0,1,,0.69314718055994529,0.20127767568040603,21,1,130218,99873,2451
kupriyanenko/astrobench,1,6257,6257,2,2,0.0014383890043151669,0,21,0,1,0,1,JavaScript,1.3862943611198906,0.1438389004315167,21,1,116181,110657,2451
tropo/tropo-webapi-python,1,10635,10635,3,3,0.00075223319228960974,10,20,1,0,0,1,Python,2.0794415416798357,0.075223319228960972,20,1,105799,122289,2565
tomgp/d3-iconarray,1,3638,3638,2,2,0.0021990104452996153,0,20,0,1,0,1,JavaScript,1.3862943611198906,0.21990104452996154,20,1,116181,96380,2565
MobileChromeApps/cordova-plugin-service-worker-background-sync,1,9085,9085,1,1,0.0093560814529444133,0,20,0,0,0,0,JavaScript,0.69314718055994529,0.93560814529444136,20,0,130218,22407,2565
fritx/gulp-app,1,5552,5552,2,2,0.0043227665706051877,0,20,0,1,0,1,JavaScript,1.3862943611198906,0.43227665706051877,20,1,116181,61684,2565
peterldowns/lggr,1,3508,3508,2,2,0.0045610034207525657,5,19,1,0,0,1,Python,1.3862943611198906,0.45610034207525657,19,1,116181,58585,2689
Neon22/inkscape-jigsaw,1,54133,54133,1,1,0.015277187667411745,3,18,1,0,0,1,Python,0.69314718055994529,1.5277187667411745,18,1,130218,9104,2827
ironSource/atom-python,1,6612,6612,3,3,0.0013611615245009074,10,18,1,0,0,1,,2.0794415416798357,0.13611615245009073,18,1,105799,112033,2827
senpaiski/TopAnimeStream,6,19154.5,68347,2.666666666666667,3,0.0027862293171031318,0,101.83333333333333,0,0.83333333333333337,0,0.83333333333333337,JavaScript,5.1890937308141689,0.27862293171031316,16.972222222222221,0.83333333333333337,61988,85703,3081
catprintlabs/cannonbol,2,7976,15921,2,3,0.00015702531248037183,0,32.5,0,0,0,0,Ruby,2.1972245773362196,0.015702531248037183,16.25,0,100917,130552,3158
